dataset,target_id,method,strict_closed,display_status,reaction_count,source_sha256,selection
PaRoutes120,n1_366,pure_llm,True,closed,7,eaf71e4c7e5ad853120743eea2b401fc92a6ae21e25d6254c2de2ec54a48dbba,adopted clean one-shot endpoint inventory
PaRoutes120,n1_566,pure_llm,True,closed,11,8f409e78b754d354e9bb67bb4f57f4f6f05864c3ab465a8845c53a680e48c49d,adopted clean one-shot endpoint inventory
PaRoutes120,n1_659,pure_llm,False,open,5,6c090fefd5f31e2ef7a9eefdcf26443539e852975afdcc02413a0915f22688e0,adopted clean one-shot endpoint inventory
PaRoutes120,n1_849,pure_llm,True,closed,7,36869af270d4bbf81f36e84fee5b962be8382ec9803a68df53b24b168e3bfeed,adopted clean one-shot endpoint inventory
PaRoutes120,n1_883,pure_llm,True,closed,7,0c2011254be6a38fd7abe84a0cde467e742dba8aaae7a418173a8486361971d1,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1020,pure_llm,True,closed,6,835a04e44868ea66b9d3dc97d4560466c6e0a3aaf847d8ca36410688b18f08a0,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1096,pure_llm,True,closed,7,efc968d12bb8746800339f58da1c137d75f94837721dcc023d4760bdfbba59ac,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1115,pure_llm,True,closed,7,a8227fa9e87c7e32363872db9ee02c602380cdf6715eedd1cb4a747338fbcb5c,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1276,pure_llm,True,closed,9,cb7a71d5542d6604abb746453916c9908533a622e5d56e635654b14e8cbe6248,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1307,pure_llm,True,closed,4,8ce96783fe9896cc00ea0e5aa861f89aeb36c443f1e0c71775701e742cb2a8dd,adopted clean one-shot endpoint inventory
PaRoutes120,n1_1391,pure_llm,True,closed,6,0bbbc78428f1f0362a703f1402a9d18c15910a05d2a5a22c80a4a32364b8cfde,adopted clean one-shot endpoint inventory
PaRoutes120,n1_2261,pure_llm,True,closed,11,3bb492330bc86b2e859504597bdf224faef63e9cb7f9b1dd82cbcc627a19823c,adopted clean one-shot endpoint inventory
PaRoutes120,n1_2324,pure_llm,False,no_route,0,,
PaRoutes120,n1_2500,pure_llm,True,closed,7,f56256b56109c5b750ef65402f93547d422ecb4e51497b894e98108c859352b7,adopted clean one-shot endpoint inventory
PaRoutes120,n1_2664,pure_llm,True,closed,6,c07251d45c205104df1c56eadc3bd5fd70a86e441eb7c070842321672d5e0888,adopted clean one-shot endpoint inventory
PaRoutes120,n1_2879,pure_llm,True,closed,6,131906562c0f8c330fdccaea7aeb93bcdb1136c9695608e118dec5223a90d63a,adopted clean one-shot endpoint inventory
PaRoutes120,n1_3447,pure_llm,True,closed,3,4102413681bd3b78fece69eabe81aa7009759bc1773d24a4bfd7e63311e8ad51,adopted clean one-shot endpoint inventory
PaRoutes120,n1_3899,pure_llm,True,closed,9,519a7994f32391543204a7684bf936f63fdd703a481d9fe71fba98f4b526b287,adopted clean one-shot endpoint inventory
PaRoutes120,n1_4003,pure_llm,True,closed,11,e36f0b4eacefd1dc74b0387876b05ee6e75ea55b0223137cb61b8487022e7899,adopted clean one-shot endpoint inventory
PaRoutes120,n1_4140,pure_llm,True,closed,4,fa9b8382ae705b1e276d4dec80f99414c2cad0c17de2d058b6b4b943776e2cee,adopted clean one-shot endpoint inventory
PaRoutes120,n1_4208,pure_llm,True,closed,2,0330d48fc50e220aa5bb03c29bbebc2db67331f095326e33dfcee00bf7f3e852,adopted clean one-shot endpoint inventory
PaRoutes120,n1_4328,pure_llm,True,closed,6,f036a699a8459020367900bf4c5d7ced999ab294d861196c261c8cedb62382af,adopted clean one-shot endpoint inventory
PaRoutes120,n1_4823,pure_llm,True,closed,4,fe5df4b3e709d9d8117cf1e9cce3d590b92c59118e8dff1a57ff6c36fa7cf3ac,adopted clean one-shot endpoint inventory
PaRoutes120,n1_5245,pure_llm,True,closed,6,928862e07d0dd9fc155a416a091c8574d84eb595eb133fda073e6bbdd2a75455,adopted clean one-shot endpoint inventory
PaRoutes120,n1_5357,pure_llm,False,open,8,1a0f14379ae14798394f3edd7f854e2eb7d38621395ae3e9deb30d91be34fff7,adopted clean one-shot endpoint inventory
PaRoutes120,n1_5654,pure_llm,True,closed,5,3b4cf2f35450b13e55e5a06b6fab760ba2b52b1428ca9d1acf6b47f71361ec2f,adopted clean one-shot endpoint inventory
PaRoutes120,n1_5948,pure_llm,False,no_route,0,,
PaRoutes120,n1_6102,pure_llm,False,no_route,0,,
PaRoutes120,n1_6381,pure_llm,True,closed,6,f3cc519d383765e0611ff8b4469fb94f0fa8264163ee595a4b9a323c11fccb80,adopted clean one-shot endpoint inventory
PaRoutes120,n1_6397,pure_llm,True,closed,6,79286a907a312ad6546ea942de9f63ac2140ff3b441192ddf934f3e0b57219b7,adopted clean one-shot endpoint inventory
